,date,confirmed,removed,recovered,death,sumconfirmed,sumremoved,sumrecovered,sumdeath,suminfected
0,2020-01-31,2,0,0,0,2,0,0,0,2
1,2020-02-01,0,0,0,0,2,0,0,0,2
2,2020-02-02,0,0,0,0,2,0,0,0,2
3,2020-02-03,0,0,0,0,2,0,0,0,2
4,2020-02-04,0,0,0,0,2,0,0,0,2
5,2020-02-05,0,0,0,0,2,0,0,0,2
6,2020-02-06,0,0,0,0,2,0,0,0,2
7,2020-02-07,1,0,0,0,3,0,0,0,3
8,2020-02-08,0,0,0,0,3,0,0,0,3
9,2020-02-09,0,0,0,0,3,0,0,0,3
10,2020-02-10,0,0,0,0,3,0,0,0,3
11,2020-02-11,0,0,0,0,3,0,0,0,3
12,2020-02-12,0,0,0,0,3,0,0,0,3
13,2020-02-13,0,0,0,0,3,0,0,0,3
14,2020-02-14,0,0,0,0,3,0,0,0,3
15,2020-02-15,0,0,0,0,3,0,0,0,3
16,2020-02-16,0,0,0,0,3,0,0,0,3
17,2020-02-17,0,0,0,0,3,0,0,0,3
18,2020-02-18,0,0,0,0,3,0,0,0,3
19,2020-02-19,0,0,0,0,3,0,0,0,3
20,2020-02-20,0,0,0,0,3,0,0,0,3
21,2020-02-21,17,1,0,1,20,1,0,1,19
22,2020-02-22,42,2,1,1,62,3,1,2,59
23,2020-02-23,93,2,1,1,155,5,2,3,150
24,2020-02-24,74,3,-1,4,229,8,1,7,221
25,2020-02-25,93,3,0,3,322,11,1,10,311
26,2020-02-26,131,4,2,2,453,15,3,12,438
27,2020-02-27,202,47,42,5,655,62,45,17,593
28,2020-02-28,233,5,1,4,888,67,46,21,821
29,2020-02-29,240,8,0,8,1128,75,46,29,1053
30,2020-03-01,566,42,37,5,1694,117,83,34,1577
31,2020-03-02,342,84,66,18,2036,201,149,52,1835
32,2020-03-03,466,38,11,27,2502,239,160,79,2263
33,2020-03-04,587,144,116,28,3089,383,276,107,2706
34,2020-03-05,769,179,138,41,3858,562,414,148,3296
35,2020-03-06,778,158,109,49,4636,720,523,197,3916
36,2020-03-07,1247,102,66,36,5883,822,589,233,5061
37,2020-03-08,1492,166,33,133,7375,988,622,366,6387
38,2020-03-09,1797,199,102,97,9172,1187,724,463,7985
39,2020-03-10,977,168,0,168,10149,1355,724,631,8794
40,2020-03-11,2313,517,321,196,12462,1872,1045,827,10590
41,2020-03-12,2651,189,0,189,15113,2061,1045,1016,13052
42,2020-03-13,2547,644,394,250,17660,2705,1439,1266,14955
43,2020-03-14,3497,702,527,175,21157,3407,1966,1441,17750
44,2020-03-15,3590,737,369,368,24747,4144,2335,1809,20603
45,2020-03-16,3233,763,414,349,27980,4907,2749,2158,23073
46,2020-03-17,3526,537,192,345,31506,5444,2941,2503,26062
47,2020-03-18,4207,1559,1084,475,35713,7003,4025,2978,28710
48,2020-03-19,5322,842,415,427,41035,7845,4440,3405,33190
49,2020-03-20,5986,627,0,627,47021,8472,4440,4032,38549
50,2020-03-21,6557,2425,1632,793,53578,10897,6072,4825,42681
51,2020-03-22,5560,1603,952,651,59138,12500,7024,5476,46638
52,2020-03-23,4789,601,0,601,63927,13101,7024,6077,50826
53,2020-03-24,5249,2045,1302,743,69176,15146,8326,6820,54030
54,2020-03-25,5210,1719,1036,683,74386,16865,9362,7503,57521
55,2020-03-26,6203,1711,999,712,80589,18576,10361,8215,62013
56,2020-03-27,5909,1508,589,919,86498,20084,10950,9134,66414
57,2020-03-28,5974,2323,1434,889,92472,22407,12384,10023,70065
58,2020-03-29,5217,1402,646,756,97689,23809,13030,10779,73880
59,2020-03-30,4050,2402,1590,812,101739,26211,14620,11591,75528
60,2020-03-31,4053,1946,1109,837,105792,28157,15729,12428,77635
61,2020-04-01,4782,1845,1118,727,110574,30002,16847,13155,80572
62,2020-04-02,4668,2191,1431,760,115242,32193,18278,13915,83049
63,2020-04-03,4585,2246,1480,766,119827,34439,19758,14681,85388
64,2020-04-04,4805,1919,1238,681,124632,36358,20996,15362,88274
65,2020-04-05,4316,1344,819,525,128948,37702,21815,15887,91246
66,2020-04-06,3599,1658,1022,636,132547,39360,22837,16523,93187
67,2020-04-07,3039,2159,1555,604,135586,41519,24392,17127,94067
68,2020-04-08,3836,2641,2099,542,139422,44160,26491,17669,95262
69,2020-04-09,4204,2589,1979,610,143626,46749,28470,18279,96877
70,2020-04-10,3951,2555,1985,570,147577,49304,30455,18849,98273
71,2020-04-11,4694,2698,2079,619,152271,52002,32534,19468,100269
72,2020-04-12,4092,2108,1677,431,156363,54110,34211,19899,102253
73,2020-04-13,3153,1790,1224,566,159516,55900,35435,20465,103616
74,2020-04-14,2972,2297,1695,602,162488,58197,37130,21067,104291
75,2020-04-15,2667,1540,962,578,165155,59737,38092,21645,105418
76,2020-04-16,3786,2597,2072,525,168941,62334,40164,22170,106607
77,2020-04-17,3493,3138,2563,575,172434,65472,42727,22745,106962
78,2020-04-18,3491,2682,2200,482,175925,68154,44927,23227,107771
79,2020-04-19,3047,2561,2128,433,178972,70715,47055,23660,108257
80,2020-04-20,2256,2276,1822,454,181228,72991,48877,24114,108237
81,2020-04-21,2729,3257,2723,534,183957,76248,51600,24648,107709
82,2020-04-22,3370,3380,2943,437,187327,79628,54543,25085,107699
83,2020-04-23,2646,3497,3033,464,189973,83125,57576,25549,106848
84,2020-04-24,3021,3342,2922,420,192994,86467,60498,25969,106527
85,2020-04-25,2357,3037,2622,415,195351,89504,63120,26384,105847
86,2020-04-26,2324,2068,1808,260,197675,91572,64928,26644,106103
87,2020-04-27,1739,2029,1696,333,199414,93601,66624,26977,105813
88,2020-04-28,2091,2699,2317,382,201505,96300,68941,27359,105205
89,2020-04-29,2086,2634,2311,323,203591,98934,71252,27682,104657
90,2020-04-30,1872,4978,4693,285,205463,103912,75945,27967,101551
91,2020-05-01,1965,2573,2304,269,207428,106485,78249,28236,100943
92,2020-05-02,1900,2139,1665,474,209328,108624,79914,28710,100704
